,region_2,country,MTE: region_2
0,Napa,US,54.140806561859186
1,South Coast,US,37.065656565656575
2,Willamette Valley,US,36.677826910928616
3,Sonoma,US,36.27644016408061
4,Napa-Sonoma,US,35.76932440657335
5,Central Coast,US,31.70870870870871
6,Columbia Valley,US,29.705785305763307
7,Mendocino/Lake Counties,US,29.326068734283318
8,Oregon Other,US,28.060698027314114
9,North Coast,US,26.893819334389853
10,Southern Oregon,US,25.706505295007567
11,Sierra Foothills,US,24.70042194092827
12,Washington Other,US,24.591216216216218
13,Long Island,US,24.322875816993466
14,Finger Lakes,US,19.231536926147704
15,Central Valley,US,18.29486023444545
16,New York Other,US,18.183673469387763
17,Chile,Chile,15.0
18,California Other,US,14.980933409220262
